Znak   wystąpił 86442 razy
Znak ! wystąpił 386 razy
Znak " wystąpił 38 razy
Znak & wystąpił 2 razy
Znak ' wystąpił 651 razy
Znak ( wystąpił 222 razy
Znak ) wystąpił 222 razy
Znak , wystąpił 710 razy
Znak - wystąpił 153 razy
Znak . wystąpił 1364 razy
Znak / wystąpił 1 razy
Znak 0 wystąpił 2 razy
Znak 1 wystąpił 5 razy
Znak 2 wystąpił 5 razy
Znak 3 wystąpił 7 razy
Znak 4 wystąpił 2 razy
Znak 7 wystąpił 1 razy
Znak : wystąpił 2 razy
Znak ? wystąpił 282 razy
Znak A wystąpił 464 razy
Znak B wystąpił 103 razy
Znak C wystąpił 68 razy
Znak D wystąpił 512 razy
Znak E wystąpił 586 razy
Znak F wystąpił 321 razy
Znak G wystąpił 106 razy
Znak H wystąpił 429 razy
Znak I wystąpił 638 razy
Znak J wystąpił 12 razy
Znak K wystąpił 465 razy
Znak L wystąpił 113 razy
Znak M wystąpił 114 razy
Znak N wystąpił 517 razy
Znak O wystąpił 578 razy
Znak P wystąpił 92 razy
Znak Q wystąpił 51 razy
Znak R wystąpił 445 razy
Znak S wystąpił 578 razy
Znak T wystąpił 273 razy
Znak U wystąpił 114 razy
Znak V wystąpił 4 razy
Znak W wystąpił 193 razy
Znak X wystąpił 1 razy
Znak Y wystąpił 368 razy
Znak a wystąpił 3680 razy
Znak b wystąpił 646 razy
Znak c wystąpił 819 razy
Znak d wystąpił 1625 razy
Znak e wystąpił 5452 razy
Znak f wystąpił 800 razy
Znak g wystąpił 1217 razy
Znak h wystąpił 2994 razy
Znak i wystąpił 2605 razy
Znak j wystąpił 73 razy
Znak k wystąpił 1023 razy
Znak l wystąpił 1892 razy
Znak m wystąpił 1025 razy
Znak n wystąpił 3118 razy
Znak o wystąpił 4113 razy
Znak p wystąpił 638 razy
Znak q wystąpił 66 razy
Znak r wystąpił 2625 razy
Znak s wystąpił 2904 razy
Znak t wystąpił 3932 razy
Znak u wystąpił 1701 razy
Znak v wystąpił 342 razy
Znak w wystąpił 982 razy
Znak x wystąpił 35 razy
Znak y wystąpił 1255 razy
Znak z wystąpił 14 razy
Znak { wystąpił 1 razy
Znak } wystąpił 1 razy
RAZEM = 143220
