id;MAX;AVG
10863531;106;29
10863537;74;25
10863548;1200;353
10863551;389;139
10863553;901;235
10863555;1232;239
10863556;480;179
10863557;768;164
10863560;1381;231
10863564;880;216
10863568;1477;216
10863576;405;157
10863580;949;268
10863586;896;219
10863590;954;229
10863595;373;168
10863600;1573;289
10863602;474;194
10863609;944;210
10863617;506;197
10863621;373;177
10863632;586;280
10863638;496;244
10863641;442;210
10863644;613;292
10863647;1285;557
10863650;1157;535
10863654;1296;602
10863655;1141;592
10863658;1120;514
10863661;1205;587
10863662;1045;553
10863665;1088;514
10863723;26;101
10863726;117;26
10863729;133;27
10863731;128;28
10863733;106;25
10863734;117;27
10863744;64;20
10863748;85;22
10863779;42;21
10863790;74;29
10863801;90;27
10863815;32;21
10863821;90;23
10863826;85;25
10863829;53;23
10863840;69;22
10863841;85;24
10863842;37;20
10863843;90;27
10863844;32;21
10863846;42;20
10863847;48;19
10863849;69;26
10863850;101;25
10863852;32;21
10863853;26;19
10863855;106;28
10863860;74;26
10863861;42;21
10863864;80;23
10863867;32;22
10863872;106;31
10863874;117;28
10863879;576;132
10863880;533;252
10863881;298;144
10863883;746;241
10863884;336;162
10863886;501;250
10863888;960;499
10863890;1013;498
10863891;853;494
10863894;1301;531
10863895;1029;527
10863896;1178;577
10863902;80;28
10863919;69;26
10863954;117;31
10863964;80;28
10863966;704;351
10863969;378;145
10863973;650;257
10863974;778;379
10863975;842;341
10863983;773;347
10863985;789;354
10863990;832;443
10863991;853;434
10864001;90;26
10864002;122;25
10864005;106;26
10864016;32;20
10864019;37;17
10864023;64;23
10864028;69;24
10864032;32;20
10864035;74;23
10864037;112;29
10864040;26;20
10864044;74;24
10864048;74;24
10864056;32;20
10864058;101;29
10864062;42;18
10864065;69;23
10864073;69;27
10864077;32;19
10864080;37;22
10864085;48;22
10864088;26;19
10864092;58;27
10864095;64;24
10864098;37;20
10864101;26;21
10864106;224;157
10864109;1600;350
10864112;181;96
10864115;560;287
10864118;458;205
10864123;757;396
10864129;1056;579
10864134;986;472
10864140;1168;518
10864141;1189;547
10864143;1008;490
10864146;1130;558
10864149;101;27
10864150;800;397
10864152;773;382
10864154;816;412
10864155;922;456
10864156;880;464
10864158;437;165
10864161;570;242
10864163;698;243
10864168;416;213
10864172;154;62
10864180;80;22
10864181;48;21
10864247;117;26
10864249;112;26
10864252;96;26
10864254;32;21
10864257;26;21
10864258;74;25
10864260;42;22
10864263;32;19
10864265;48;22
10864267;32;20
10864269;90;28
10864271;32;20
10864273;80;27
10864275;42;21
10864277;74;24
10864280;74;24
10864281;42;21
10864285;42;19
10864287;32;23
10864289;48;20
10864293;42;22
10864297;3333;419
10864300;970;252
10864301;714;209
10864303;880;191
10864304;208;109
10864306;410;168
10864307;1061;553
10864310;928;451
10864311;912;467
10864312;917;472
10864314;1018;488
10864317;1045;485
10864319;1066;494
10864321;533;252
10864322;106;26
10864326;64;20
10864328;26;20
10864330;26;18
10864332;37;21
10864334;53;23
10864335;21;19
10864337;53;23
10864339;74;21
10864341;37;19
10864346;106;24
10864354;32;21
10864373;48;21
10864381;26;22
10864392;90;30
10864407;69;29
10864673;106;27
10864677;48;19
10864688;981;488
10864689;1061;552
10864690;1013;500
10864691;1125;486
10864693;864;463
10864694;1184;605
10864697;1056;529
10864699;1050;479
10864700;1210;488
10864702;3690;584
10864705;106;28
10864706;106;27
10864709;101;26
10864710;122;28
10864715;405;344
10864717;1104;473
10864719;954;446
10864724;714;377
10864726;981;436
10864729;842;442
10864731;810;441
10864735;469;193
10864736;405;197
10864740;528;235
10864741;1632;485
10864745;27;106
10864751;53;23
10864757;26;18
10864761;58;20
10864765;37;18
10864769;26;16
10864773;26;19
10864777;69;21
10864781;42;19
10864783;37;21
10864784;32;17
10864803;26;20
10864837;69;23
10864851;69;22
10864859;32;20
10864868;37;22
10864878;64;23
10864886;53;23
10864888;501;180
10864891;448;180
10864892;368;165
10864893;581;191
10864896;554;282
10864902;1082;502
10864907;1040;465
10864910;880;444
10864915;1077;557
10864916;1210;586
10864923;976;534
10864930;1018;496
10864943;1162;532
10864950;1152;572
10864952;997;553
10864957;490;213
10864964;122;26
10864968;112;26
10864970;112;25
10864981;53;24
10865016;645;270
10865022;490;164
10865023;581;137
10865028;1781;230
10865031;1701;440
10865037;741;363
10865040;906;423
10865042;1072;302
10865047;496;172
10865049;1066;218
10865051;1728;268
10865052;1034;403
10865057;1701;253
10865071;96;26
10865074;96;27
10865075;101;27
10865076;101;28
10865080;128;28
10865081;96;26
10865089;69;25
10865095;53;17
10865097;85;26
10865100;37;23
10865102;90;28
10865108;69;29
10865110;85;28
10865115;32;18
10865119;53;22
10865120;112;25
10865121;85;27
10865131;53;22
10865142;32;18
10865145;74;27
10865156;32;19
10865160;58;22
10865162;304;249
10865167;720;263
10865171;368;166
10865174;1072;417
10865185;1381;510
10865195;1088;531
10865199;1029;506
10865204;954;463
10865211;1210;582
10865215;1002;466
10865217;1024;487
10865219;1130;492
10865224;1104;538
10865226;1168;566
10865228;1173;562
10865231;1242;572
10865234;1178;523
10865235;1018;536
10865237;2320;314
10865238;112;27
10865241;106;27
10865242;106;28
10865244;106;26
10865255;53;19
10865267;80;21
10865274;69;22
10865276;48;18
10865902;133;27
10865907;901;189
10865908;901;248
10865910;1066;275
10865912;437;156
10865913;352;152
10865918;362;171
10865920;736;179
10865921;874;256
10865923;912;239
10865925;1440;214
10865926;730;196
10865927;661;208
10865930;469;178
10865931;378;174
10865933;405;163
10865935;362;164
10865938;794;159
10865941;730;213
10866144;128;29
10866147;122;27
10866149;117;26
10866153;101;27
10866166;1056;252
10866167;1040;236
10866168;741;204
10866170;826;195
10866172;778;177
10866174;640;159
10866175;570;196
10866177;357;179
10866178;970;219
10866183;1248;239
10866190;618;209
10866194;1008;230
10866196;448;146
10866198;997;226
10866200;629;209
10866204;613;215
10866208;757;194
10866211;944;241
10866214;773;336
10866218;730;260
10866270;272;162
10866276;672;341
10866279;853;219
10866470;106;27
10866472;101;28
10866474;96;27
10866478;106;25
10866494;26;20
10866501;26;17
10866516;26;20
10866522;32;21
10866529;26;19
10866534;74;25
10866544;42;20
10866547;37;21
10866568;32;20
10866575;26;23
10866578;26;20
10866581;32;23
10866588;554;262
10866594;970;218
10866597;1269;176
10866601;554;248
10866602;437;208
10866607;128;47
10866609;138;49
10866610;117;26
10866613;106;26
10866614;101;26
10866622;21;15
10866628;32;22
10866636;85;27
10866638;32;16
10866640;74;24
10866643;394;217
10866645;661;231
10866646;453;180
10866650;832;269
10866651;586;258
10866652;869;294
10866653;768;339
10866654;730;345
10866655;634;229
10866658;629;255
10866659;464;219
10866662;426;215
10866666;405;199
10866671;224;155
10866674;101;28
10866679;117;27
10866682;106;27
